序号,编号,状态,标题,副标题,作者,语言,出版日期,类型,出版社,开本,页数,印字,ISBN/ASIN,价格,购买地,购买日期,阅读日期,阅读日期2,评分,简评,
20,2015-020,未读,曾国藩的友人与敌人,,张宏杰,中文,2014年5月,历史,国际文化出版公司,16开,368,298,9787512506800,¥26.70,京东,2015年3月,,,,,
21,2015-021,放弃,上瘾五百年,,戴维·考特莱特,中文,2014年8月,社会学,中信出版社,32开,288,,9787508646473,¥29.10,京东,2015年3月,,,,,
22,2015-022,1遍,敏捷估计与规划,,Mike Cohn,中文,2007年1月,管理,清华大学出版社,16开,288,,9787302154808,¥25.80,淘宝,2015年3月,2015年4月,,★★★☆☆,★★✫☆☆,5
23,2015-023,未读,罗伯特议事规则,,亨利·罗伯特,中文,2008年4月,管理,格致出版社,32开,582,627,9787543214217,¥36.40,京东,2015年4月,,,,,
24,2015-024,1遍,创业维艰,,Ben Horowitz,中文,2015年3月,管理,中信出版社,32开,320,,9787508646640,¥30.90,京东,2015年4月,2016年7月,,,,
25,2015-025,1遍,一本书读懂财报,,肖星,中文,2014年7月,财务,浙江大学出版社,16开,192,,9787308133326,¥25.60,京东,2015年4月,2015年4月,,★★★★☆,,
26,2015-026,放弃,我的奋斗,,希特勒/陈式,繁体,1984年8月,传记,文国书局,32开,262,,9576006767,¥18.00,淘宝,2015年4月,,,,,
27,2015-027,1遍,精益创业,,Eric Ries,中文,2012年8月,管理,中信出版社,16开,272,210,9787508622019,¥32.70,京东,2015年4月,,,★★☆☆☆,,
28,2015-028,1遍,哲学的慰藉,,阿兰·德波顿,中文,2009年4月,散文,上海译文出版社,32开,284,,9787532747498,¥23.10,京东,2015年4月,2015年8月,,★★★★☆,,
29,2015-029,未读,人类沟通的起源,,迈克尔·托马塞洛,中文,2012年9月,语言学,商务印书馆,32开,311,,9787100086974,¥27.60,京东,2015年4月,,,,,
30,2015-030,1遍,写给无神论者,,阿兰·德波顿,中文,2012年6月,散文,上海译文出版社,32开,296,,9787532757794,¥24.00,京东,2015年4月,2015年8月,,★★★☆☆,,
31,2015-031,1遍,单身社会,,艾里克·克里南伯格,中文,2015年2月,社会学,上海文艺出版社,32开,264,,9787532155224,¥25.60,京东,2015年4月,2015年8月,,★★★★☆,,
32,2015-032,1遍,论民主,,Robert A.Dahl,中文,2012年6月,社会学,中国人民大学出版社,16开,177,156,9787300156361,¥31.40,京东,2015年4月,2015年5月,,★★★★☆,,
33,2015-033,1遍,思考的艺术,,文森特·赖安·拉吉罗,中文,2013年2月,心理学,机械工业出版社,32开,348,,9787111405313,¥28.00,京东,2015年4月,2015年4月,,★★★★☆,,
34,2015-034,阅读中,管理的实践,,彼得·德鲁克,中文,2014年10月,管理,机械工业出版社,16开,314,,978711128074,¥30.20,京东,2015年4月,,,,,
35,2015-035,1遍,卓有成效的管理者,,彼得·德鲁克,中文,2014年10月,管理,机械工业出版社,16开,167,,978711128071,¥30.00,京东,2015年4月,2015年6月,,,,
36,2015-036,1遍,不懂带人，你就自己干到死,把身边的庸才变干将,路易斯·卡夫曼,中文,2013年7月,管理,印刷工业出版社,16开,304,223,9787514206630,¥25.00,京东,2015年4月,2015年6月,,,,
37,2015-037,1遍,照着做，你就能带好团队,,河野英太郎,中文,2014年6月,管理,中国华侨出版社,16开,240,,9787511345530,¥25.60,京东,2015年4月,2015年6月,,,,
38,2015-038,1遍,北京风物志,,林红,中文,1985年4月,旅游,北京旅游出版社,16开,321,,17273·7,¥31.00,淘宝,2015年5月,2016年2月,,★★★★☆,,
39,2015-039,1遍,项目文档管理指南,,Rakos,中文,2006年4月,管理,电子工业出版社,16开,261,,9787121011788,¥28.00,淘宝,2015年5月,2015年7月,,★★★☆☆,,
40,2015-040,1遍,资本的游戏,,房西苑,中文,2012年7月,金融,机械工业出版社,16开,291,,9787111384465,¥67.10,京东,2015年5月,2015年6月,,★★★★☆,,
41,2015-041,阅读中,逻辑学讲义,,康德,中文,2010年10月,哲学,商务印书馆,大32开,155,,9787100068932,¥12.80,京东,2015年5月,,,,,
42,2015-042,未读,哲学问题,,罗素,中文,2009年7月,哲学,商务印书馆,大32开,142,,9787100051750,¥12.30,京东,2015年5月,,,,,
43,2015-043,未读,权衡,批判性思维之探究途径,苏伦·白琳,中文,2014年9月,心理学,中国人民大学出版社,16开,536,,9787300197357,¥47.20,京东,2015年6月,,,,,
44,2015-044,1遍,门口的野蛮人,,Bryan Burrough,中文,2010年9月,金融,机械工业出版社,16开,431,,9787111314943,¥36.90,京东,2015年6月,2015年10月,,★★★☆☆,,
45,2015-045,1遍,西方哲学与人生(第1卷）,,傅佩荣,中文,2013年6月,哲学,东方出版社,16开,391,303,9787506061643,¥49.00,中国书店,2015年7月,2016年3月,,★★★★☆,,
46,2015-046,未读,思想录,,Blaise Pascal,中文,2014年10月,哲学,天津人民出版社,32开,535,400,9787201086392,¥33.80,京东,2015年7月,,,,,
47,2015-047,1遍,谈判力,,罗杰·费希尔,中文,2012年8月,管理,中信出版社,大32开,183,150,9787508634340,¥24.00,当当,2015年8月,2015年12月,,★★★★☆,,
48,2015-048,1遍,光伏发电站设计关键技术,,郭家宝,中文,2014年5月,电力,中国电力出版社,大32开,234,230,9787512354395,¥41.40,当当,2015年8月,2015年8月,,★★☆☆☆,,
49,2015-049,阅读中,基业长青,,吉姆·柯林斯,中文,2009年10月,管理,中信出版社,16开,330,254,9787508616803,¥30.70,京东,2015年8月,2015年12月,,,,
50,2015-050,1遍,隐秩序,适应性造就复杂性,约翰·H·霍兰,中文,2011年10月,社会学,上海科技教育出版社,16开,168,,9787542852519,¥22.80,京东,2015年8月,2015年8月,,★★☆☆☆,,
51,2015-051,阅读中,西方哲学与人生(第2卷）,,傅佩荣,中文,2013年6月,哲学,东方出版社,16开,417,315,9787506061636,¥36.80,京东,2015年8月,,,,,
52,2015-052,1遍,主流,谁将打赢全球文化战争,弗雷德里克·马特尔,中文,2012年3月,社会学,商务印书馆,16开,420,,9787100089241,¥36.80,京东,2015年8月,2015年8月,,★★☆☆☆,,
53,2015-053,1遍,当中医遇上西医,,区结成,中文,2005年5月,医学,三联书店,16开,207,100,9787108022332,¥19.00,三联·同方,2015年8月,2015年8月,,★★★★★,,
54,2015-054,1遍,任天堂,让世界充满微笑,彭剑锋,中文,2013年8月,传记,机械工业出版社,16开,316,,9787111431541,¥59.00,三联·同方,2015年8月,2015年9月,,★★★☆☆,,
55,2015-055,阅读中,从管理新人到卓越管理者,,鲍勃·塞尔登,中文,2015年4月,管理,电子工业出版社,16开,276,,9787121256981,¥45.00,三联·同方,2015年8月,,,,,
56,2015-056,1遍,机场里的小旅行,,阿兰·德波顿,中文,2012年8月,散文,上海译文出版社,32开,72,,9787532751549,¥19.70,京东,2015年8月,2015年8月,,,,
57,2015-057,未读,引爆点,如何引发流行,马尔科姆·格拉德威尔,中文,2014年4月,社会学,中信出版社,32开,288,339,9787508635736,¥25.40,京东,2015年8月,,,,,
58,2015-058,未读,文明的冲突与世界秩序的重建,,塞缪尔·亨廷顿,中文,2010年1月,社会学,新华出版社,32开,432,350,9787501190409,¥29.90,京东,2015年8月,,,,,
59,2015-059,未读,时间简史,,史蒂芬·霍金,中文,2012年1月,科学,湖南科学技术出版社,16开,243,171,9787535732309,¥30.10,京东,2015年8月,,,,,
60,2015-060,1遍,维珍创业经,理查德·布兰森如何颠覆传统行业,理查德·布兰森,中文,2015年1月,管理,中信出版社,16开,266,147,9787508648941,¥52.00,PAGE ONE · 三里屯,2015年8月,2015年8月,,★★★☆☆,,
